Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Acinetobacter spp.","Imipenem","DEU","Germany","European Region",335,10,2.985074627
"Bloodstream","Acinetobacter spp.","Meropenem","DEU","Germany","European Region",475,16,3.368421053
"Bloodstream","Acinetobacter spp.","Gentamicin","DNK","Denmark","European Region",87,2,2.298850575
"Bloodstream","Acinetobacter spp.","Meropenem","DNK","Denmark","European Region",89,2,2.247191011
"Bloodstream","Acinetobacter spp.","Amikacin","DZA","Algeria","African Region",192,151,78.645833333
"Bloodstream","Acinetobacter spp.","Colistin","DZA","Algeria","African Region",99,0,0
"Bloodstream","Acinetobacter spp.","Gentamicin","DZA","Algeria","African Region",162,143,88.271604938
"Bloodstream","Acinetobacter spp.","Imipenem","DZA","Algeria","African Region",211,180,85.308056872
"Bloodstream","Acinetobacter spp.","Meropenem","DZA","Algeria","African Region",33,31,93.939393939
"Bloodstream","Acinetobacter spp.","Minocycline","DZA","Algeria","African Region",22,18,81.818181818
"Bloodstream","Acinetobacter spp.","Amikacin","EGY","Egypt","Eastern Mediterranean Region",69,53,76.811594203
"Bloodstream","Acinetobacter spp.","Gentamicin","EGY","Egypt","Eastern Mediterranean Region",68,50,73.529411765
"Bloodstream","Acinetobacter spp.","Imipenem","EGY","Egypt","Eastern Mediterranean Region",80,56,70
"Bloodstream","Acinetobacter spp.","Meropenem","EGY","Egypt","Eastern Mediterranean Region",84,58,69.047619048
"Bloodstream","Acinetobacter spp.","Amikacin","EST","Estonia","European Region",11,1,9.090909091
"Bloodstream","Acinetobacter spp.","Gentamicin","EST","Estonia","European Region",10,3,30
"Bloodstream","Acinetobacter spp.","Imipenem","EST","Estonia","European Region",13,3,23.076923077
"Bloodstream","Acinetobacter spp.","Amikacin","ETH","Ethiopia","African Region",233,63,27.038626609
"Bloodstream","Acinetobacter spp.","Gentamicin","ETH","Ethiopia","African Region",382,218,57.068062827
"Bloodstream","Acinetobacter spp.","Imipenem","ETH","Ethiopia","African Region",28,12,42.857142857
"Bloodstream","Acinetobacter spp.","Meropenem","ETH","Ethiopia","African Region",361,165,45.706371191
"Bloodstream","Acinetobacter spp.","Meropenem","FIN","Finland","European Region",31,0,0
"Bloodstream","Acinetobacter spp.","Amikacin","GBR","United Kingdom of Great Britain and Northern Ireland","European Region",605,10,1.652892562
"Bloodstream","Acinetobacter spp.","Colistin","GBR","United Kingdom of Great Britain and Northern Ireland","European Region",39,2,5.128205128
"Bloodstream","Acinetobacter spp.","Gentamicin","GBR","United Kingdom of Great Britain and Northern Ireland","European Region",997,28,2.808425276
"Bloodstream","Acinetobacter spp.","Imipenem","GBR","United Kingdom of Great Britain and Northern Ireland","European Region",212,9,4.245283019
"Bloodstream","Acinetobacter spp.","Meropenem","GBR","United Kingdom of Great Britain and Northern Ireland","European Region",1034,23,2.224371373
"Bloodstream","Acinetobacter spp.","Amikacin","GEO","Georgia","European Region",101,85,84.158415842
"Bloodstream","Acinetobacter spp.","Colistin","GEO","Georgia","European Region",97,3,3.092783505
"Bloodstream","Acinetobacter spp.","Gentamicin","GEO","Georgia","European Region",100,77,77
"Bloodstream","Acinetobacter spp.","Imipenem","GEO","Georgia","European Region",75,65,86.666666667
"Bloodstream","Acinetobacter spp.","Meropenem","GEO","Georgia","European Region",98,84,85.714285714
"Bloodstream","Acinetobacter spp.","Amikacin","GHA","Ghana","African Region",23,3,13.043478261
"Bloodstream","Acinetobacter spp.","Gentamicin","GHA","Ghana","African Region",28,12,42.857142857
"Bloodstream","Acinetobacter spp.","Meropenem","GHA","Ghana","African Region",18,9,50
"Bloodstream","Acinetobacter spp.","Amikacin","GRC","Greece","European Region",1523,1423,93.434011819
"Bloodstream","Acinetobacter spp.","Colistin","GRC","Greece","European Region",61,29,47.540983607
"Bloodstream","Acinetobacter spp.","Gentamicin","GRC","Greece","European Region",1518,1336,88.010540184
"Bloodstream","Acinetobacter spp.","Imipenem","GRC","Greece","European Region",1388,1333,96.037463977
"Bloodstream","Acinetobacter spp.","Meropenem","GRC","Greece","European Region",151,133,88.079470199
"Bloodstream","Acinetobacter spp.","Amikacin","HKG","China, Hong Kong SAR","Western Pacific Region",226,48,21.238938053
"Bloodstream","Acinetobacter spp.","Colistin","HKG","China, Hong Kong SAR","Western Pacific Region",84,1,1.19047619
"Bloodstream","Acinetobacter spp.","Gentamicin","HKG","China, Hong Kong SAR","Western Pacific Region",226,58,25.663716814
"Bloodstream","Acinetobacter spp.","Imipenem","HKG","China, Hong Kong SAR","Western Pacific Region",223,126,56.502242152
"Bloodstream","Acinetobacter spp.","Meropenem","HKG","China, Hong Kong SAR","Western Pacific Region",190,114,60
"Bloodstream","Acinetobacter spp.","Minocycline","HKG","China, Hong Kong SAR","Western Pacific Region",190,4,2.105263158
"Bloodstream","Acinetobacter spp.","Tigecycline","HKG","China, Hong Kong SAR","Western Pacific Region",45,1,2.222222222
"Bloodstream","Acinetobacter spp.","Amikacin","HRV","Croatia","European Region",153,138,90.196078431
"Bloodstream","Acinetobacter spp.","Colistin","HRV","Croatia","European Region",108,4,3.703703704
"Bloodstream","Acinetobacter spp.","Gentamicin","HRV","Croatia","European Region",258,238,92.248062016
"Bloodstream","Acinetobacter spp.","Imipenem","HRV","Croatia","European Region",97,91,93.81443299
"Bloodstream","Acinetobacter spp.","Meropenem","HRV","Croatia","European Region",163,158,96.932515337
"Bloodstream","Acinetobacter spp.","Amikacin","IDN","Indonesia","South-East Asia Region",1795,756,42.116991643
"Bloodstream","Acinetobacter spp.","Colistin","IDN","Indonesia","South-East Asia Region",79,15,18.987341772
"Bloodstream","Acinetobacter spp.","Doripenem","IDN","Indonesia","South-East Asia Region",224,129,57.589285714
"Bloodstream","Acinetobacter spp.","Gentamicin","IDN","Indonesia","South-East Asia Region",1787,1085,60.716284275
"Bloodstream","Acinetobacter spp.","Imipenem","IDN","Indonesia","South-East Asia Region",848,554,65.330188679
"Bloodstream","Acinetobacter spp.","Meropenem","IDN","Indonesia","South-East Asia Region",1706,1000,58.616647128
"Bloodstream","Acinetobacter spp.","Tigecycline","IDN","Indonesia","South-East Asia Region",1306,143,10.949464012
"Bloodstream","Acinetobacter spp.","Amikacin","IND","India","South-East Asia Region",10244,6477,63.227254979
"Bloodstream","Acinetobacter spp.","Colistin","IND","India","South-East Asia Region",6726,65,0.966399048
"Bloodstream","Acinetobacter spp.","Gentamicin","IND","India","South-East Asia Region",8298,4940,59.53241745
